event,sector,region,trkID,x0,y0,z0,r,phi,theta,eta,err_x0,err_y0,err_z0
12,14,2,2,4.439843178,-8.171563148,-4.760731697,9.299819984,-1.073089611,2.04393166,-0.4918448234,0.007149031851,0.003442792688,0.3587354124
12,17,3,3,8.11026001,-8.901605606,-10.19124508,12.04221324,-0.8318819276,2.273134554,-0.7684106129,0.00548508577,0.004602533299,0.2897067964
12,18,3,2,5.891908646,-10.65992069,-6.030407906,12.17983976,-1.065870293,2.030527417,-0.4768372948,0.009462392889,0.003444029484,0.3194886744
13,1,1,1,-0.7999683619,-6.528700352,4.328352928,6.577528233,-1.692719599,0.9887817436,0.6179626962,0.009514592588,0,0.4672691822
13,1,2,1,-0.9652200937,-9.288700104,6.860914707,9.338715085,-1.674338079,0.937175982,0.6808415654,0.009680009447,0,0.4548194408
13,1,3,1,-1.044405222,-12.03219986,9.133558273,12.07744243,-1.657380164,0.9233076018,0.6981391826,0.009680455551,0,0.4405294061
13,3,1,2,-6.526408195,-1.041095972,3.19521451,6.608924629,-2.983404947,1.12046023,0.4663779749,0.00303657935,0.009345630184,0.4572657943
13,3,1,-1,-6.689667225,-0.5386388898,4.738488674,6.711317265,-3.061247944,0.9560251572,0.6576113862,0.003475472098,0.01069639064,0.4709213078
13,3,1,-1,-6.558218002,-0.9431985617,-7.944686413,6.625695955,-2.998752777,2.44647387,-1.015378899,0.002771218307,0.008528925478,0.3646700382
13,4,2,2,-9.129014969,-1.746210456,4.228487015,9.294523401,-2.952594278,1.143838639,0.4405539679,0.001914636581,0.008388571441,0.4320573211
13,4,2,-1,-9.314788818,-0.9322831631,6.031096935,9.361326969,-3.041838512,0.9984692287,0.6064025024,0.002227222081,0.009758110158,0.4475820959
13,4,2,-1,-9.189544678,-1.481013656,-12.35994434,9.308121875,-2.981803726,2.496118353,-1.095327953,0.001649999176,0.00722912373,0.3020588458
13,5,3,2,-11.76615238,-2.561514378,6.252410412,12.04174812,-2.927235357,1.091885065,0.4983432294,0.001487935311,0.008438500576,0.4160473347
13,5,3,-1,-11.971735,-1.395595312,7.803993225,12.0528057,-3.025542262,0.9961921857,0.6091131858,0.001558457385,0.008838466369,0.4291446209
13,5,3,-1,-11.86178875,-2.019134045,-15.91012669,12.03241184,-2.972987015,2.494088395,-1.091958097,0.001124634757,0.006378121208,0.2511101067
